route_description,predicted_avg_delay,service_reliability_rate,trip_count,headway_irregularity,norm_delay,norm_headway,route_risk_score
Hazel Road - Port of Liverpool,11.04559180960951,0.0,261,0.5,0.9999999046020748,0.1279098420962254,0.7819774128250937
Kirkby - Kirkby,9.560860112750095,0.0,2349,1.5881307283249535,0.8583595810991304,0.40627510137641654,0.7807485658936693
Runcorn Halton Lea Shopping City - Chester Bus Interchange,10.726932509554658,0.0,304,0.5,0.9696004685002773,0.1279098420962254,0.766777694774195
Alton Road - College Drive,10.702106102579608,0.0,131,0.5,0.9672320807822808,0.1279098420962254,0.7655935009151967
McCulloch Street - Cowley College,10.627306193089678,0.0,261,0.5,0.9600963246045452,0.1279098420962254,0.7620256228263289
Jubits Lane - Rainford High School Internal Grounds,10.547505773825412,0.0,261,0.5,0.9524835301689109,0.1279098420962254,0.7582192256085117
Seaforth Station - Maghull High School,10.499017699029274,0.0,261,0.5,0.947857868431718,0.1279098420962254,0.7559063947399154
Freckleton Road - Rectory Avenue,10.495779415376187,0.0,261,0.5,0.9475489428896907,0.1279098420962254,0.7557519319689017
Chester Railway Station - Rock Ferry Depot via Zoo,10.25207662142979,0.0,126,0.5,0.9243002019581448,0.1279098420962254,0.7441275615031288
Spurriers Lane - Spring Gardens,10.057919922975236,0.0,261,0.5,0.9057780557430831,0.1279098420962254,0.734866488395598
"Chester Bus Interchange, Stand C - Christleton High School",9.975059346174396,0.0,261,0.5,0.8978733286273779,0.1279098420962254,0.7309141248377453
Newton Hospital - Byrchall and St Edmund Arrowsmith High Schools,9.694174875284741,0.0,261,0.5,0.8710775328563853,0.1279098420962254,0.717516226952249
"Bootle Bus Station, Stand 6 - Liverpool ONE Bus Station",9.49750798956421,0.0,261,0.5,0.8523159199840429,0.1279098420962254,0.7081354205160778
Regents Road - Rainford HS,9.072622496349354,0.0,206,0.5,0.8117827254425924,0.1279098420962254,0.6878688232453526
Prescot Bus Station - Dunbeath Avenue (opp) Rainhill Stoops,8.694237964664634,0.0,261,0.5,0.7756856261554284,0.1279098420962254,0.6698202736017705
Ellesmere Port - Hooton Railway Station,8.429765950280844,0.0,227,0.5,0.7504555446841211,0.1279098420962254,0.6572052328661169
Clock Face Rd - St Cuthberts,8.414331685098576,0.0,522,0.5,0.7489831478072504,0.1279098420962254,0.6564690344276816
Liverpool - Chester Bus Interchange,6.18100985962565,0.0,1434,2.0538607237499766,0.5359288791368322,0.5254180017249975,0.6493189399996655
City Road - Rainford HS,8.114417864289715,0.0,261,0.5,0.7203719915342167,0.1279098420962254,0.6421634562911647
Paradise St - Garston,4.271254512257494,0.15886595022624433,42432,3.909002340210947,0.35374218117323614,0.9999997441803158,0.6371545390751359
Chatsworth Road - Range High School,7.991960632646742,0.0,261,0.5,0.7086898256978743,0.1279098420962254,0.6363223733729935
"Neston, Brook Street - Willaston, Village Green",7.988569745917155,0.0,231,0.5,0.7083663421389549,0.1279098420962254,0.6361606315935338
