source_file,service_code,line_name,vehicle_journey_code,line_ref,route_description,direction,scheduled_departure_time,operating_days,scheduled_duration_minutes,operating_day,calendar_date,hour,delay_minutes,synthetic_latitude,synthetic_longitude
20-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_15_20260719-BODS_V1_1.xml,PC1033334:15,20,VJ862,SCMY:PC1033334:15:20,Towerhill - Liverpool,inbound,09:35:00,"Monday,Tuesday,Wednesday,Thursday,Friday",65.0,Wednesday,2025-08-20,9,7.44,53.421881254290604,-2.7340406788500693
RF1-None--SCMY-CZ-2026-03-29-Chester_March_2026-Birkenhead_March___SCMY_PC1033334_196_20260329-BODS_V1_1.xml,PC1033334:196,X1,VJ410,SCMY:PC1033334:196:1,Liverpool - Chester Railway Station via Zoo,inbound,16:25:00,"Monday,Tuesday,Wednesday,Thursday,Friday",122.0,Monday,2026-07-20,16,20.74,53.36360360172913,-2.7500571832702785
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2787,SCMY:PC1033334:106:82,Paradise St - Garston Speke RdR,inbound,07:28:00,Saturday,33.0,Saturday,2026-02-07,7,0.74,53.453211455094014,-2.940578757433492
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2885,SCMY:PC1033334:106:82,Paradise St - Garston,outbound,16:15:00,Saturday,40.0,Saturday,2026-06-27,16,4.08,53.45142242238599,-2.923516621796992
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3152,SCMY:PC1033334:15:20,Towerhill - Liverpool,inbound,10:49:00,"Monday,Tuesday,Wednesday,Thursday,Friday",65.0,Friday,2025-08-22,10,7.24,53.43790227271091,-2.693856022824763
CH53-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_188_20260719-BODS_V1_1.xml,PC1033334:188,52,VJ269,SCMY:PC1033334:188:53,Chester Bus Interchange - Kingsway,outbound,16:22:00,"Monday,Tuesday,Wednesday,Thursday,Friday",13.0,Monday,2025-09-01,16,24.7,53.41564885115117,-2.700219912249716
CH84-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_535_20260405-BODS_V1_1.xml,PC1033334:535,84,VJ1260,SCMY:PC1033334:535:84,"Chester Interchange, Stand L - Crewe Bus Station, 5",outbound,10:37:00,"Monday,Tuesday,Wednesday,Thursday,Friday",85.0,Thursday,2025-11-13,10,-1.85,53.467867575636156,-2.9510379086994103
17-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_12_20260103-BODS_V1_1.xml,PC1033334:12,17,VJ655,SCMY:PC1033334:12:17,Liverpool - Aintree Hosp,outbound,06:48:00,"Monday,Tuesday,Wednesday,Thursday,Friday",31.0,Tuesday,2026-06-16,6,-0.59,53.330408835896776,-2.9337814135377007
CH51-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_527_20260405-BODS_V1_1.xml,PC1033334:527,51,VJ904,SCMY:PC1033334:527:51,"Chester Interchange, Stand E - Weston Grove, Shops",outbound,15:45:00,"Monday,Tuesday,Wednesday,Thursday,Friday",11.0,Friday,2026-07-31,15,4.45,53.37342188273473,-2.893575159938536
38-None--SCMY-RF-2026-03-29-Birkenhead_March_2026-Refresh2__SCMY_PC1033334_185_20260329-BODS_V1_1.xml,PC1033334:185,38,VJ370,SCMY:PC1033334:185:38,Eastham Ferry - West Kirby,outbound,16:41:00,"Monday,Tuesday,Wednesday,Thursday,Friday",119.0,Thursday,2025-09-11,16,7.07,53.38318778156806,-2.8347691828660118
86C-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_120_20260103-BODS_V1_1.xml,PC1033334:120,86,VJ1879,SCMY:PC1033334:120:86,Liverpool ONE - South Parkway,outbound,19:22:00,"Monday,Tuesday,Wednesday,Thursday,Friday",45.0,Tuesday,2026-04-07,19,2.99,53.368281221493,-2.87109256184497
20-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_15_20260719-BODS_V1_1.xml,PC1033334:15,20,VJ806,SCMY:PC1033334:15:20,Paradise St - Towerhill/Northwood,inbound,06:05:00,"Monday,Tuesday,Wednesday,Thursday,Friday",54.0,Thursday,2026-02-19,6,5.25,53.41873678993771,-2.7686421845852838
20-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_15_20260719-BODS_V1_1.xml,PC1033334:15,20,VJ869,SCMY:PC1033334:15:20,Paradise St - Towerhill,outbound,10:01:00,"Monday,Tuesday,Wednesday,Thursday,Friday",63.0,Monday,2025-11-24,10,1.47,53.344247341454825,-2.6686925846167413
ME14-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_3_20260719-BODS_V1_1.xml,PC1033334:3,14,VJ624,SCMY:PC1033334:3:14,Liverpool - Croxteth,outbound,14:45:00,Saturday,37.0,Saturday,2025-12-13,14,3.16,53.38737716895142,-2.967495112851436
86C-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_120_20260103-BODS_V1_1.xml,PC1033334:120,86,VJ1629,SCMY:PC1033334:120:86,Liverpool ONE - South Parkway,outbound,11:15:00,Sunday,40.0,Sunday,2025-11-02,11,6.96,53.434176695125345,-2.796251619929446
ME14-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_3_20260103-BODS_V1_1.xml,PC1033334:3,14,VJ147,SCMY:PC1033334:3:14,Liverpool - Croxteth,outbound,13:01:00,"Monday,Tuesday,Wednesday,Thursday,Friday",40.0,Wednesday,2026-07-29,13,-0.59,53.358666208285,-2.899072079550527
