route_description,avg_delay,n
Hazel Road - Port of Liverpool,10.857241379310343,261
Runcorn Halton Lea Shopping City - Chester Bus Interchange,10.802631578947368,304
"Chester Bus Interchange, Stand C - Christleton High School",10.491379310344826,261
McCulloch Street - Cowley College,10.474827586206896,261
Freckleton Road - Rectory Avenue,10.455057471264368,261
Spurriers Lane - Spring Gardens,10.44080459770115,261
Jubits Lane - Rainford High School Internal Grounds,10.376590038314179,261
Alton Road - College Drive,10.303511450381679,131
Seaforth Station - Maghull High School,10.206130268199235,261
Chester Railway Station - Rock Ferry Depot via Zoo,9.704285714285714,126
